사고지역관리번호,사고연도,사고유형구분,위치코드,사고다발지역시도시군구,사고지역위치명,사고건수,사상자수,사망자수,중상자수,경상자수,부상신고자수,위도,경도,사고다발지역폴리곤정보,데이터기준일자
2013060,2012,스쿨존어린이,30230001,대전광역시 대덕구1,대전광역시 대덕구 중리동(대전용전초교 부근),2,2,0,1,1,0,36.3559508,127.43007758,"{""type"":""Polygon"",""coordinates"":[[[127.4324411,36.3578625],[127.4320422,36.358138],[127.431595,36.3583597],[127.4311105,36.358522],[127.4306005,36.3586211],[127.4300776,36.3586543],[127.4295547,36.3586211],[127.4290447,36.358522],[127.4285601,36.3583597],[127.4281129,36.358138],[127.4277141,36.3578625],[127.4273735,36.3575399],[127.4270995,36.3571781],[127.4268988,36.3567862],[127.4267763,36.3563737],[127.4267352,36.3559508],[127.4267764,36.3555278],[127.4268988,36.3551153],[127.4270996,36.3547234],[127.4273736,36.3543617],[127.4277142,36.3540391],[127.428113,36.3537636],[127.4285602,36.3535419],[127.4290448,36.3533796],[127.4295547,36.3532805],[127.4300776,36.3532473],[127.4306004,36.3532805],[127.4311104,36.3533796],[127.4315949,36.3535419],[127.4320421,36.3537636],[127.4324409,36.3540391],[127.4327816,36.3543617],[127.4330556,36.3547234],[127.4332563,36.3551153],[127.4333788,36.3555278],[127.4334199,36.3559508],[127.4333788,36.3563737],[127.4332564,36.3567862],[127.4330557,36.3571781],[127.4327817,36.3575399],[127.4324411,36.3578625]]]}",2023-01-25
2013097,2012,보행어린이,30170001,대전광역시 서구1,대전광역시 서구 괴정동(새한BC 부근),3,3,0,2,1,0,36.33972386,127.38476423,"{""type"":""Polygon"",""coordinates"":[[[127.3863395,36.3409983],[127.3860019,36.3412225],[127.3856168,36.341389],[127.3851989,36.3414916],[127.3847642,36.3415262],[127.3843296,36.3414916],[127.3839117,36.341389],[127.3835265,36.3412225],[127.3831889,36.3409983],[127.3829119,36.3407252],[127.382706,36.3404136],[127.3825792,36.3400755],[127.3825365,36.3397238],[127.3825793,36.3393722],[127.382706,36.3390341],[127.3829119,36.3387225],[127.383189,36.3384494],[127.3835266,36.3382252],[127.3839117,36.3380587],[127.3843296,36.3379561],[127.3847642,36.3379215],[127.3851988,36.3379561],[127.3856167,36.3380587],[127.3860019,36.3382252],[127.3863395,36.3384494],[127.3866165,36.3387225],[127.3868224,36.3390341],[127.3869492,36.3393722],[127.386992,36.3397238],[127.3869492,36.3400755],[127.3868225,36.3404136],[127.3866166,36.3407252],[127.3863395,36.3409983]]]}",2023-01-25
2013097,2012,보행어린이,30170002,대전광역시 서구2,대전광역시 서구 둔산동(김가네분식 부근),5,5,0,4,1,0,36.35191643,127.38966562,"{""type"":""Polygon"",""coordinates"":[[[127.3912412,36.3531909],[127.3909035,36.353415],[127.3905183,36.3535816],[127.3901003,36.3536842],[127.3896656,36.3537188],[127.3892309,36.3536842],[127.3888129,36.3535816],[127.3884277,36.353415],[127.3880901,36.3531909],[127.387813,36.3529178],[127.3876071,36.3526061],[127.3874803,36.352268],[127.3874375,36.3519164],[127.3874803,36.3515648],[127.3876071,36.3512267],[127.387813,36.3509151],[127.3880901,36.350642],[127.3884278,36.3504178],[127.388813,36.3502513],[127.3892309,36.3501487],[127.3896656,36.3501141],[127.3901003,36.3501487],[127.3905183,36.3502513],[127.3909035,36.3504178],[127.3912411,36.350642],[127.3915182,36.3509151],[127.3917241,36.3512267],[127.3918509,36.3515648],[127.3918937,36.3519164],[127.3918509,36.352268],[127.3917242,36.3526061],[127.3915183,36.3529178],[127.3912412,36.3531909]]]}",2023-01-25
2013097,2012,보행어린이,30200001,대전광역시 유성구1,대전광역시 유성구 장대동(장대2교 부근),3,3,0,0,3,0,36.36118935,127.33869353,"{""type"":""Polygon"",""coordinates"":[[[127.3402693,36.3624638],[127.3399316,36.362688],[127.3395463,36.3628545],[127.3391283,36.3629571],[127.3386935,36.3629917],[127.3382588,36.3629571],[127.3378407,36.3628545],[127.3374555,36.362688],[127.3371178,36.3624638],[127.3368407,36.3621907],[127.3366347,36.3618791],[127.3365079,36.361541],[127.3364651,36.3611893],[127.336508,36.3608377],[127.3366348,36.3604996],[127.3368407,36.360188],[127.3371178,36.3599149],[127.3374555,36.3596907],[127.3378408,36.3595242],[127.3382588,36.3594216],[127.3386935,36.359387],[127.3391283,36.3594216],[127.3395463,36.3595242],[127.3399315,36.3596907],[127.3402692,36.3599149],[127.3405463,36.360188],[127.3407523,36.3604996],[127.3408791,36.3608377],[127.3409219,36.3611893],[127.3408791,36.361541],[127.3407523,36.3618791],[127.3405464,36.3621907],[127.3402693,36.3624638]]]}",2023-01-25
2013098,2012,보행노인,30110001,대전광역시 동구1,대전광역시 동구 삼성동((주)흥광기계 부근),3,3,0,2,1,0,36.34378962,127.42173839,"{""type"":""Polygon"",""coordinates"":[[[127.4233138,36.3450641],[127.4229762,36.3452882],[127.422591,36.3454548],[127.422173,36.3455574],[127.4217384,36.345592],[127.4213037,36.3455574],[127.4208858,36.3454548],[127.4205006,36.3452882],[127.420163,36.3450641],[127.4198859,36.3447909],[127.4196801,36.3444793],[127.4195533,36.3441412],[127.4195105,36.3437896],[127.4195533,36.343438],[127.4196801,36.3430999],[127.419886,36.3427883],[127.4201631,36.3425151],[127.4205007,36.342291],[127.4208858,36.3421245],[127.4213038,36.3420219],[127.4217384,36.3419873],[127.422173,36.3420219],[127.422591,36.3421245],[127.4229761,36.342291],[127.4233137,36.3425151],[127.4235908,36.3427883],[127.4237967,36.3430999],[127.4239235,36.343438],[127.4239663,36.3437896],[127.4239235,36.3441412],[127.4237967,36.3444793],[127.4235908,36.3447909],[127.4233138,36.3450641]]]}",2023-01-25
2013098,2012,보행노인,30110002,대전광역시 동구2,대전광역시 동구 원동(원동삼거리 부근),4,4,1,2,1,0,36.32971131,127.43360852,"{""type"":""Polygon"",""coordinates"":[[[127.4351836,36.3309858],[127.4348461,36.3312099],[127.434461,36.3313765],[127.4340431,36.331479],[127.4336085,36.3315137],[127.4331739,36.331479],[127.4327561,36.3313765],[127.432371,36.3312099],[127.4320334,36.3309858],[127.4317564,36.3307126],[127.4315506,36.330401],[127.4314238,36.3300629],[127.431381,36.3297113],[127.4314238,36.3293597],[127.4315506,36.3290216],[127.4317564,36.32871],[127.4320335,36.3284368],[127.432371,36.3282127],[127.4327561,36.3280461],[127.433174,36.3279436],[127.4336085,36.3279089],[127.4340431,36.3279436],[127.4344609,36.3280461],[127.434846,36.3282127],[127.4351836,36.3284368],[127.4354606,36.32871],[127.4356664,36.3290216],[127.4357932,36.3293597],[127.435836,36.3297113],[127.4357932,36.3300629],[127.4356665,36.330401],[127.4354606,36.3307126],[127.4351836,36.3309858]]]}",2023-01-25
2013098,2012,보행노인,30110003,대전광역시 동구3,대전광역시 동구 삼성동(한신전기상사 부근),4,4,2,2,0,0,36.34068035,127.42622946,"{""type"":""Polygon"",""coordinates"":[[[127.4278048,36.3419548],[127.4274672,36.342179],[127.427082,36.3423455],[127.4266641,36.3424481],[127.4262295,36.3424827],[127.4257948,36.3424481],[127.4253769,36.3423455],[127.4249917,36.342179],[127.4246541,36.3419548],[127.4243771,36.3416817],[127.4241712,36.3413701],[127.4240444,36.341032],[127.4240016,36.3406803],[127.4240445,36.3403287],[127.4241712,36.3399906],[127.4243771,36.339679],[127.4246542,36.3394059],[127.4249918,36.3391817],[127.4253769,36.3390152],[127.4257948,36.3389126],[127.4262295,36.338878],[127.4266641,36.3389126],[127.427082,36.3390152],[127.4274671,36.3391817],[127.4278047,36.3394059],[127.4280818,36.339679],[127.4282877,36.3399906],[127.4284144,36.3403287],[127.4284573,36.3406803],[127.4284145,36.341032],[127.4282877,36.3413701],[127.4280818,36.3416817],[127.4278048,36.3419548]]]}",2023-01-25
2013098,2012,보행노인,30110004,대전광역시 동구4,대전광역시 동구 중동(명인전자 부근),5,5,2,2,1,0,36.33315324,127.43184036,"{""type"":""Polygon"",""coordinates"":[[[127.4334155,36.3344277],[127.433078,36.3346518],[127.4326928,36.3348184],[127.432275,36.334921],[127.4318404,36.3349556],[127.4314058,36.334921],[127.4309879,36.3348184],[127.4306027,36.3346518],[127.4302652,36.3344277],[127.4299882,36.3341546],[127.4297823,36.333843],[127.4296556,36.3335048],[127.4296128,36.3331532],[127.4296556,36.3328016],[127.4297823,36.3324635],[127.4299882,36.3321519],[127.4302652,36.3318788],[127.4306028,36.3316546],[127.4309879,36.3314881],[127.4314058,36.3313855],[127.4318404,36.3313509],[127.4322749,36.3313855],[127.4326928,36.3314881],[127.4330779,36.3316546],[127.4334155,36.3318788],[127.4336925,36.3321519],[127.4338984,36.3324635],[127.4340251,36.3328016],[127.434068,36.3331532],[127.4340252,36.3335048],[127.4338984,36.333843],[127.4336926,36.3341546],[127.4334155,36.3344277]]]}",2023-01-25
2013098,2012,보행노인,30110005,대전광역시 동구5,대전광역시 동구 효동(제2치수교네거리 부근),6,7,2,3,2,0,36.32087356,127.44391622,"{""type"":""Polygon"",""coordinates"":[[[127.4454911,36.322148],[127.4451536,36.3223722],[127.4447686,36.3225387],[127.4443507,36.3226413],[127.4439162,36.3226759],[127.4434817,36.3226413],[127.4430639,36.3225387],[127.4426788,36.3223722],[127.4423413,36.322148],[127.4420643,36.3218749],[127.4418585,36.3215633],[127.4417318,36.3212252],[127.441689,36.3208735],[127.4417318,36.3205219],[127.4418585,36.3201838],[127.4420644,36.3198722],[127.4423413,36.3195991],[127.4426789,36.3193749],[127.4430639,36.3192084],[127.4434817,36.3191058],[127.4439162,36.3190712],[127.4443507,36.3191058],[127.4447685,36.3192084],[127.4451536,36.3193749],[127.4454911,36.3195991],[127.4457681,36.3198722],[127.4459739,36.3201838],[127.4461007,36.3205219],[127.4461435,36.3208735],[127.4461007,36.3212252],[127.4459739,36.3215633],[127.4457681,36.3218749],[127.4454911,36.322148]]]}",2023-01-25
2013098,2012,보행노인,30140001,대전광역시 중구1,대전광역시 중구 유천동(동양국제결혼상담소 부근),2,2,2,0,0,0,36.3139612,127.39909262,"{""type"":""Polygon"",""coordinates"":[[[127.4006674,36.3152357],[127.4003299,36.3154598],[127.3999449,36.3156264],[127.3995271,36.3157289],[127.3990926,36.3157636],[127.3986581,36.3157289],[127.3982404,36.3156264],[127.3978553,36.3154598],[127.3975178,36.3152357],[127.3972409,36.3149625],[127.3970351,36.3146509],[127.3969084,36.3143128],[127.3968656,36.3139612],[127.3969084,36.3136096],[127.3970351,36.3132714],[127.3972409,36.3129598],[127.3975179,36.3126867],[127.3978554,36.3124626],[127.3982404,36.312296],[127.3986582,36.3121935],[127.3990926,36.3121588],[127.3995271,36.3121935],[127.3999449,36.312296],[127.4003299,36.3124626],[127.4006674,36.3126867],[127.4009443,36.3129598],[127.4011501,36.3132714],[127.4012769,36.3136096],[127.4013197,36.3139612],[127.4012769,36.3143128],[127.4011502,36.3146509],[127.4009444,36.3149625],[127.4006674,36.3152357]]]}",2023-01-25
2013098,2012,보행노인,30140002,대전광역시 중구2,대전광역시 중구 은행동(- 인근),3,3,0,1,2,0,36.32819989,127.42892313,"{""type"":""Polygon"",""coordinates"":[[[127.4304982,36.3294743],[127.4301607,36.3296985],[127.4297756,36.3298651],[127.4293577,36.3299676],[127.4289231,36.3300023],[127.4284886,36.3299676],[127.4280707,36.3298651],[127.4276856,36.3296985],[127.4273481,36.3294743],[127.427071,36.3292012],[127.4268652,36.3288896],[127.4267385,36.3285515],[127.4266957,36.3281999],[127.4267385,36.3278482],[127.4268652,36.3275101],[127.4270711,36.3271985],[127.4273481,36.3269254],[127.4276856,36.3267013],[127.4280707,36.3265347],[127.4284886,36.3264322],[127.4289231,36.3263975],[127.4293577,36.3264322],[127.4297755,36.3265347],[127.4301606,36.3267013],[127.4304981,36.3269254],[127.4307752,36.3271985],[127.430981,36.3275101],[127.4311078,36.3278482],[127.4311506,36.3281999],[127.4311078,36.3285515],[127.430981,36.3288896],[127.4307752,36.3292012],[127.4304982,36.3294743]]]}",2023-01-25
