,사고다발지FID,사고다발지ID,법정동코드,지점코드,시도시군구명,지점명,사고건수,사상자수,사망자수,중상자수,경상자수,부상신고자수,경도,위도,다발지역폴리곤
0,6773863,2022032,3011011700,30110001,대전광역시 동구1,대전광역시 동구 홍도동(용전네거리 부근),4,7,0,4,3,0,127.4323641,36.34756756,"{""type"":""Polygon"",""coordinates"":[[[127.43326244,36.34756756],[127.43324518,36.3474264],[127.43319406,36.34729067],[127.43311105,36.34716558],[127.43299933,36.34705594],[127.4328632,36.34696596],[127.4327079,36.3468991],[127.43253938,36.34685792],[127.43236413,36.34684402],[127.43218887,36.34685792],[127.43202036,36.3468991],[127.43186505,36.34696596],[127.43172892,36.34705594],[127.4316172,36.34716558],[127.43153419,36.34729067],[127.43148307,36.3474264],[127.43146581,36.34756756],[127.43148307,36.34770871],[127.43153419,36.34784444],[127.4316172,36.34796953],[127.43172892,36.34807918],[127.43186505,36.34816916],[127.43202036,36.34823602],[127.43218887,36.34827719],[127.43236413,36.34829109],[127.43253938,36.34827719],[127.4327079,36.34823602],[127.4328632,36.34816916],[127.43299933,36.34807918],[127.43311105,36.34796953],[127.43319406,36.34784444],[127.43324518,36.34770871],[127.43326244,36.34756756]]]}"
1,6773497,2022032,3011011200,30110002,대전광역시 동구2,대전광역시 동구 신안동(대동성당 부근),4,6,0,4,2,0,127.4397343,36.32827848,"{""type"":""Polygon"",""coordinates"":[[[127.44063266,36.32827848],[127.4406154,36.32813729],[127.44056428,36.32800152],[127.44048127,36.3278764],[127.44036955,36.32776673],[127.44023342,36.32767673],[127.44007812,36.32760985],[127.4399096,36.32756867],[127.43973435,36.32755476],[127.43955909,36.32756867],[127.43939058,36.32760985],[127.43923527,36.32767673],[127.43909914,36.32776673],[127.43898742,36.3278764],[127.43890441,36.32800152],[127.43885329,36.32813729],[127.43883603,36.32827848],[127.43885329,36.32841967],[127.43890441,36.32855543],[127.43898742,36.32868055],[127.43909914,36.32879022],[127.43923527,36.32888022],[127.43939058,36.3289471],[127.43955909,36.32898828],[127.43973435,36.32900219],[127.4399096,36.32898828],[127.44007812,36.3289471],[127.44023342,36.32888022],[127.44036955,36.32879022],[127.44048127,36.32868055],[127.44056428,36.32855543],[127.4406154,36.32841967],[127.44063266,36.32827848]]]}"
2,6773957,2022032,3011011700,30110003,대전광역시 동구3,대전광역시 동구 홍도동(한남로1 부근),4,6,0,4,2,0,127.4256742,36.35098944,"{""type"":""Polygon"",""coordinates"":[[[127.4265725,36.35098944],[127.42655524,36.35084829],[127.42650412,36.35071257],[127.42642111,36.35058749],[127.42630939,36.35047785],[127.42617326,36.35038787],[127.42601796,36.35032101],[127.42584944,36.35027984],[127.42567418,36.35026594],[127.42549893,36.35027984],[127.42533041,36.35032101],[127.42517511,36.35038787],[127.42503898,36.35047785],[127.42492726,36.35058749],[127.42484425,36.35071257],[127.42479313,36.35084829],[127.42477587,36.35098944],[127.42479313,36.35113059],[127.42484425,36.35126632],[127.42492726,36.3513914],[127.42503898,36.35150104],[127.42517511,36.35159101],[127.42533041,36.35165787],[127.42549893,36.35169904],[127.42567418,36.35171294],[127.42584944,36.35169904],[127.42601796,36.35165787],[127.42617326,36.35159101],[127.42630939,36.35150104],[127.42642111,36.3513914],[127.42650412,36.35126632],[127.42655524,36.35113059],[127.4265725,36.35098944]]]}"
3,6773456,2022032,3011010100,30110004,대전광역시 동구4,대전광역시 동구 원동(원동네거리 부근),4,5,0,4,1,0,127.4350562,36.32665325,"{""type"":""Polygon"",""coordinates"":[[[127.43595448,36.32665325],[127.43593722,36.32651205],[127.4358861,36.32637629],[127.43580309,36.32625116],[127.43569137,36.32614149],[127.43555524,36.32605149],[127.43539994,36.32598461],[127.43523142,36.32594342],[127.43505617,36.32592951],[127.43488091,36.32594342],[127.4347124,36.32598461],[127.43455709,36.32605149],[127.43442096,36.32614149],[127.43430925,36.32625116],[127.43422623,36.32637629],[127.43417511,36.32651205],[127.43415785,36.32665325],[127.43417511,36.32679444],[127.43422623,36.32693021],[127.43430925,36.32705533],[127.43442096,36.327165],[127.43455709,36.327255],[127.4347124,36.32732188],[127.43488091,36.32736307],[127.43505617,36.32737697],[127.43523142,36.32736307],[127.43539994,36.32732188],[127.43555524,36.327255],[127.43569137,36.327165],[127.43580309,36.32705533],[127.4358861,36.32693021],[127.43593722,36.32679444],[127.43595448,36.32665325]]]}"
4,6774102,2022032,3014011700,30140001,대전광역시 중구1,대전광역시 중구 산성동(대전충남우유농협우성 부근),4,8,0,5,3,0,127.392516,36.31183721,"{""type"":""Polygon"",""coordinates"":[[[127.39341429,36.31183721],[127.39339703,36.31169599],[127.39334591,36.3115602],[127.39326289,36.31143505],[127.39315118,36.31132536],[127.39301505,36.31123534],[127.39285974,36.31116844],[127.39269122,36.31112725],[127.39251597,36.31111334],[127.39234072,36.31112725],[127.3921722,36.31116844],[127.3920169,36.31123534],[127.39188077,36.31132536],[127.39176905,36.31143505],[127.39168604,36.3115602],[127.39163492,36.31169599],[127.39161766,36.31183721],[127.39163492,36.31197843],[127.39168604,36.31211422],[127.39176905,36.31223937],[127.39188077,36.31234906],[127.3920169,36.31243908],[127.3921722,36.31250598],[127.39234072,36.31254717],[127.39251597,36.31256108],[127.39269122,36.31254717],[127.39285974,36.31250598],[127.39301505,36.31243908],[127.39315118,36.31234906],[127.39326289,36.31223937],[127.39334591,36.31211422],[127.39339703,36.31197843],[127.39341429,36.31183721]]]}"
5,6774082,2022032,3014010200,30140002,대전광역시 중구2,대전광역시 중구 선화동(중촌네거리 부근),4,5,0,4,1,0,127.4161054,36.33619782,"{""type"":""Polygon"",""coordinates"":[[[127.41700369,36.33619782],[127.41698643,36.33605664],[127.41693531,36.33592089],[127.4168523,36.33579578],[127.41674058,36.33568612],[127.41660446,36.33559613],[127.41644915,36.33552925],[127.41628063,36.33548808],[127.41610538,36.33547417],[127.41593013,36.33548808],[127.41576161,36.33552925],[127.4156063,36.33559613],[127.41547017,36.33568612],[127.41535846,36.33579578],[127.41527544,36.33592089],[127.41522432,36.33605664],[127.41520706,36.33619782],[127.41522432,36.33633899],[127.41527544,36.33647474],[127.41535846,36.33659985],[127.41547017,36.33670951],[127.4156063,36.3367995],[127.41576161,36.33686637],[127.41593013,36.33690755],[127.41610538,36.33692145],[127.41628063,36.33690755],[127.41644915,36.33686637],[127.41660446,36.3367995],[127.41674058,36.33670951],[127.4168523,36.33659985],[127.41693531,36.33647474],[127.41698643,36.33633899],[127.41700369,36.33619782]]]}"
6,6774002,2022032,3017011200,30170001,대전광역시 서구1,대전광역시 서구 둔산동(S&S2010KOREA 부근),4,7,0,4,2,1,127.3819854,36.3513149,"{""type"":""Polygon"",""coordinates"":[[[127.38288374,36.3513149],[127.38286647,36.35117375],[127.38281536,36.35103803],[127.38273234,36.35091294],[127.38262063,36.35080331],[127.3824845,36.35071333],[127.38232919,36.35064647],[127.38216067,36.3506053],[127.38198542,36.3505914],[127.38181017,36.3506053],[127.38164165,36.35064647],[127.38148634,36.35071333],[127.38135022,36.35080331],[127.3812385,36.35091294],[127.38115549,36.35103803],[127.38110437,36.35117375],[127.3810871,36.3513149],[127.38110437,36.35145605],[127.38115549,36.35159177],[127.3812385,36.35171685],[127.38135022,36.35182649],[127.38148634,36.35191647],[127.38164165,36.35198332],[127.38181017,36.3520245],[127.38198542,36.3520384],[127.38216067,36.3520245],[127.38232919,36.35198332],[127.3824845,36.35191647],[127.38262063,36.35182649],[127.38273234,36.35171685],[127.38281536,36.35159177],[127.38286647,36.35145605],[127.38288374,36.3513149]]]}"
7,6773973,2022032,3017011300,30170002,대전광역시 서구2,대전광역시 서구 월평동(누리네거리 부근),4,4,0,4,0,0,127.3683764,36.35851301,"{""type"":""Polygon"",""coordinates"":[[[127.36927471,36.35851301],[127.36925744,36.35837187],[127.36920632,36.35823616],[127.36912331,36.35811109],[127.36901159,36.35800146],[127.36887547,36.35791149],[127.36872016,36.35784464],[127.36855164,36.35780347],[127.36837639,36.35778957],[127.36820114,36.35780347],[127.36803262,36.35784464],[127.36787731,36.35791149],[127.36774118,36.35800146],[127.36762947,36.35811109],[127.36754645,36.35823616],[127.36749534,36.35837187],[127.36747807,36.35851301],[127.36749534,36.35865414],[127.36754645,36.35878985],[127.36762947,36.35891492],[127.36774118,36.35902455],[127.36787731,36.35911452],[127.36803262,36.35918137],[127.36820114,36.35922254],[127.36837639,36.35923644],[127.36855164,36.35922254],[127.36872016,36.35918137],[127.36887547,36.35911452],[127.36901159,36.35902455],[127.36912331,36.35891492],[127.36920632,36.35878985],[127.36925744,36.35865414],[127.36927471,36.35851301]]]}"
8,6773156,2022032,3020011100,30200001,대전광역시 유성구1,대전광역시 유성구 봉명동(진터네거리 부근),5,5,0,5,0,0,127.3403083,36.34874216,"{""type"":""Polygon"",""coordinates"":[[[127.34120666,36.34874216],[127.3411894,36.34860101],[127.34113828,36.34846528],[127.34105526,36.34834019],[127.34094355,36.34823055],[127.34080742,36.34814057],[127.34065211,36.34807371],[127.34048359,36.34803253],[127.34030834,36.34801863],[127.34013309,36.34803253],[127.33996457,36.34807371],[127.33980926,36.34814057],[127.33967314,36.34823055],[127.33956142,36.34834019],[127.33947841,36.34846528],[127.33942729,36.34860101],[127.33941003,36.34874216],[127.33942729,36.34888331],[127.33947841,36.34901904],[127.33956142,36.34914413],[127.33967314,36.34925377],[127.33980926,36.34934374],[127.33996457,36.34941061],[127.34013309,36.34945178],[127.34030834,36.34946568],[127.34048359,36.34945178],[127.34065211,36.34941061],[127.34080742,36.34934374],[127.34094355,36.34925377],[127.34105526,36.34914413],[127.34113828,36.34901904],[127.3411894,36.34888331],[127.34120666,36.34874216]]]}"
9,6774086,2022032,3020011700,30200002,대전광역시 유성구2,대전광역시 유성구 장대동(궁동교 부근),4,4,0,4,0,0,127.3380454,36.36514713,"{""type"":""Polygon"",""coordinates"":[[[127.33894375,36.36514713],[127.33892649,36.36500601],[127.33887537,36.36487031],[127.33879235,36.36474525],[127.33868064,36.36463563],[127.33854451,36.36454567],[127.3383892,36.36447882],[127.33822068,36.36443765],[127.33804543,36.36442376],[127.33787018,36.36443765],[127.33770166,36.36447882],[127.33754635,36.36454567],[127.33741023,36.36463563],[127.33729851,36.36474525],[127.3372155,36.36487031],[127.33716438,36.36500601],[127.33714712,36.36514713],[127.33716438,36.36528825],[127.3372155,36.36542395],[127.33729851,36.36554901],[127.33741023,36.36565863],[127.33754635,36.36574859],[127.33770166,36.36581544],[127.33787018,36.3658566],[127.33804543,36.3658705],[127.33822068,36.3658566],[127.3383892,36.36581544],[127.33854451,36.36574859],[127.33868064,36.36565863],[127.33879235,36.36554901],[127.33887537,36.36542395],[127.33892649,36.36528825],[127.33894375,36.36514713]]]}"
10,6773489,2022032,3023010900,30230001,대전광역시 대덕구1,대전광역시 대덕구 중리동(중리네거리 부근),4,9,1,4,4,0,127.4323543,36.35892697,"{""type"":""Polygon"",""coordinates"":[[[127.43325261,36.35892697],[127.43323535,36.35878584],[127.43318423,36.35865012],[127.43310122,36.35852505],[127.4329895,36.35841543],[127.43285338,36.35832546],[127.43269807,36.3582586],[127.43252955,36.35821744],[127.4323543,36.35820354],[127.43217905,36.35821744],[127.43201053,36.3582586],[127.43185522,36.35832546],[127.43171909,36.35841543],[127.43160738,36.35852505],[127.43152436,36.35865012],[127.43147325,36.35878584],[127.43145598,36.35892697],[127.43147325,36.3590681],[127.43152436,36.35920381],[127.43160738,36.35932888],[127.43171909,36.35943851],[127.43185522,36.35952848],[127.43201053,36.35959533],[127.43217905,36.3596365],[127.4323543,36.3596504],[127.43252955,36.3596365],[127.43269807,36.35959533],[127.43285338,36.35952848],[127.4329895,36.35943851],[127.43310122,36.35932888],[127.43318423,36.35920381],[127.43323535,36.3590681],[127.43325261,36.35892697]]]}"
11,6838591,2023060,3011011900,30110001,대전 동구1,대전 동구 정동(대전역지구대 부근),8,9,0,9,0,0,127.4335321,36.33049299,"{""type"":""Polygon"",""coordinates"":[[[127.4344304,36.33049299],[127.43441314,36.3303518],[127.43436202,36.33021604],[127.43427901,36.33009092],[127.43416729,36.32998126],[127.43403117,36.32989126],[127.43387586,36.32982438],[127.43370734,36.3297832],[127.43353209,36.32976929],[127.43335684,36.3297832],[127.43318832,36.32982438],[127.43303301,36.32989126],[127.43289688,36.32998126],[127.43278517,36.33009092],[127.43270215,36.33021604],[127.43265104,36.3303518],[127.43263377,36.33049299],[127.43265104,36.33063417],[127.43270215,36.33076993],[127.43278517,36.33089505],[127.43289688,36.33100472],[127.43303301,36.33109472],[127.43318832,36.33116159],[127.43335684,36.33120277],[127.43353209,36.33121668],[127.43370734,36.33120277],[127.43387586,36.33116159],[127.43403117,36.33109472],[127.43416729,36.33100472],[127.43427901,36.33089505],[127.43436202,36.33076993],[127.43441314,36.33063417],[127.4344304,36.33049299]]]}"
12,6838224,2023060,3011011900,30110002,대전 동구2,대전 동구 정동(해켓신경외과의원 부근),7,8,1,6,1,0,127.4319926,36.3326964,"{""type"":""Polygon"",""coordinates"":[[[127.43289089,36.3326964],[127.43287363,36.33255522],[127.43282251,36.33241946],[127.43273949,36.33229435],[127.43262778,36.33218468],[127.43249165,36.33209468],[127.43233634,36.33202781],[127.43216782,36.33198663],[127.43199257,36.33197272],[127.43181732,36.33198663],[127.4316488,36.33202781],[127.43149349,36.33209468],[127.43135737,36.33218468],[127.43124565,36.33229435],[127.43116264,36.33241946],[127.43111152,36.33255522],[127.43109426,36.3326964],[127.43111152,36.33283758],[127.43116264,36.33297334],[127.43124565,36.33309845],[127.43135737,36.33320811],[127.43149349,36.33329811],[127.4316488,36.33336498],[127.43181732,36.33340616],[127.43199257,36.33342007],[127.43216782,36.33340616],[127.43233634,36.33336498],[127.43249165,36.33329811],[127.43262778,36.33320811],[127.43273949,36.33309845],[127.43282251,36.33297334],[127.43287363,36.33283758],[127.43289089,36.3326964]]]}"
13,6838300,2023060,3011011700,30110003,대전 동구3,대전 동구 홍도동(한우리교회 부근),7,7,1,6,0,0,127.4307439,36.34734596,"{""type"":""Polygon"",""coordinates"":[[[127.43164218,36.34734596],[127.43162492,36.3472048],[127.4315738,36.34706907],[127.43149079,36.34694398],[127.43137907,36.34683434],[127.43124294,36.34674436],[127.43108764,36.34667749],[127.43091912,36.34663632],[127.43074387,36.34662242],[127.43056861,36.34663632],[127.43040009,36.34667749],[127.43024479,36.34674436],[127.43010866,36.34683434],[127.42999694,36.34694398],[127.42991393,36.34706907],[127.42986281,36.3472048],[127.42984555,36.34734596],[127.42986281,36.34748711],[127.42991393,36.34762284],[127.42999694,36.34774793],[127.43010866,36.34785758],[127.43024479,36.34794756],[127.43040009,36.34801442],[127.43056861,36.34805559],[127.43074387,36.34806949],[127.43091912,36.34805559],[127.43108764,36.34801442],[127.43124294,36.34794756],[127.43137907,36.34785758],[127.43149079,36.34774793],[127.4315738,36.34762284],[127.43162492,36.34748711],[127.43164218,36.34734596]]]}"
14,6838359,2023060,3011011500,30110004,대전 동구4,대전 동구 용전동(예닮교회 부근),7,9,1,8,0,0,127.4320187,36.35056194,"{""type"":""Polygon"",""coordinates"":[[[127.432917,36.35056194],[127.43289974,36.35042079],[127.43284862,36.35028506],[127.43276561,36.35015998],[127.43265389,36.35005034],[127.43251776,36.34996036],[127.43236245,36.3498935],[127.43219394,36.34985233],[127.43201868,36.34983843],[127.43184343,36.34985233],[127.43167491,36.3498935],[127.43151961,36.34996036],[127.43138348,36.35005034],[127.43127176,36.35015998],[127.43118875,36.35028506],[127.43113763,36.35042079],[127.43112037,36.35056194],[127.43113763,36.35070309],[127.43118875,36.35083881],[127.43127176,36.3509639],[127.43138348,36.35107353],[127.43151961,36.35116351],[127.43167491,36.35123037],[127.43184343,36.35127154],[127.43201868,36.35128544],[127.43219394,36.35127154],[127.43236245,36.35123037],[127.43251776,36.35116351],[127.43265389,36.35107353],[127.43276561,36.3509639],[127.43284862,36.35083881],[127.43289974,36.35070309],[127.432917,36.35056194]]]}"
