"시도명",시군구명,도로명,소재지도로명주소,소재지지번주소,횡단보도관리번호,횡단보도종류,자전거횡단도겸용여부,고원식적용여부,위도,경도,차로수,횡단보도폭,횡단보도연장,보행자신호등유무,보행자작동신호기유무,음향신호기설치여부,녹색신호시간,적색신호시간,교통섬유무,보도턱낮춤여부,점자블록유무,집중조명시설유무,관리기관명,관리기관전화번호,데이터기준일자
"대전광역시",대덕구,대청로64번길,,대전광역시 대덕구 신탄진동 28,1,01,N,N,36.45305524,127.43534550,2,5.9,5.2,N,,,,,N,Y,Y,N,대전광역시,042-120,2023-01-05
"대전광역시",대덕구,대청로,,대전광역시 대덕구 신탄진동 89-2,2,01,Y,Y,36.45321560,127.43539400,3,5.4,11,Y,,,,,N,Y,Y,N,대전광역시,042-120,2023-01-05
"대전광역시",대덕구,대덕대로1527번길,,대전광역시 대덕구 석봉동 522-4,3,01,N,N,36.45439968,127.42141430,2,4,8.3,N,,,,,N,Y,N,N,대전광역시,042-120,2023-01-05
"대전광역시",유성구,금남구즉로,,대전광역시 유성구 봉산동 305-1,4,01,N,N,36.44026383,127.38650700,5,6.1,17.1,Y,,,,,N,Y,Y,N,대전광역시,042-120,2023-01-05
"대전광역시",유성구,구룡달전로,,대전광역시 유성구 봉산동 305-5,5,01,N,Y,36.44130584,127.38544560,3,4.1,9.3,Y,,,,,N,Y,Y,N,대전광역시,042-120,2023-01-05
"대전광역시",유성구,금남구즉로,,대전광역시 유성구 봉산동 305-1,6,01,N,Y,36.44125509,127.38565150,6,6.2,18.4,Y,,,,,Y,Y,Y,N,대전광역시,042-120,2023-01-05
"대전광역시",유성구,구룡달전로,,대전광역시 유성구 봉산동 305-5,7,01,N,N,36.44115167,127.38529540,1,3.4,5,N,,,,,N,Y,Y,N,대전광역시,042-120,2023-01-05
"대전광역시",유성구,금남구즉로,,대전광역시 유성구 봉산동 305-1,8,01,N,N,36.44030555,127.38630290,1,4.1,4.9,N,,,,,N,Y,Y,N,대전광역시,042-120,2023-01-05
"대전광역시",유성구,라온2길,,대전광역시 유성구 신동 729,9,01,N,N,36.47510259,127.36246490,2,6.1,8.6,N,,,,,N,Y,N,N,대전광역시,042-120,2023-01-05
"대전광역시",중구,유등로,,대전광역시 중구 탄방동 1461,10,01,N,N,36.34513002,127.40172400,6,8.1,20.5,Y,,,,,N,Y,Y,Y,대전광역시,042-120,2023-01-05
"대전광역시",중구,유등로669번길,,대전광역시 중구 둔산동 1460-1,11,01,N,N,36.34717233,127.40084280,4,6.1,10.6,N,,,,,N,Y,Y,N,대전광역시,042-120,2023-01-05
"대전광역시",중구,유등로669번길,,대전광역시 중구 둔산동 1460-1,12,01,N,N,36.34688253,127.40147990,4,6.1,11.7,N,,,,,N,Y,Y,N,대전광역시,042-120,2023-01-05
"대전광역시",중구,유등로,,대전광역시 중구 둔산동 2169,13,01,N,N,36.34914222,127.40183390,8,6.1,21.3,Y,,,,,N,Y,Y,N,대전광역시,042-120,2023-01-05
"대전광역시",중구,유등로,,대전광역시 중구 둔산동 1461,14,01,N,N,36.34881925,127.40186960,7,6.1,25.1,Y,,,,,N,Y,Y,N,대전광역시,042-120,2023-01-05
"대전광역시",중구,둔산남로,,대전광역시 중구 둔산동 1458,15,01,N,N,36.34897899,127.40164210,6,6.1,20.5,Y,,,,,N,Y,Y,N,대전광역시,042-120,2023-01-05
"대전광역시",중구,유등로661번길,,대전광역시 중구 탄방동 1459,16,01,N,N,36.34602752,127.40161390,1,4,6.2,N,,,,,N,Y,N,N,대전광역시,042-120,2023-01-05
"대전광역시",서구,둔산로230번길,,대전광역시 서구 둔산동 2161,17,01,N,N,36.35117021,127.39939220,1,4,5.2,N,,,,,N,Y,Y,N,대전광역시,042-120,2023-01-05
"대전광역시",서구,둔산로,,대전광역시 서구 둔산동 2161,18,01,N,N,36.35134495,127.39973130,2,4,8.9,N,,,,,N,Y,N,N,대전광역시,042-120,2023-01-05
"대전광역시",서구,둔산로,,대전광역시 서구 둔산동 2161,19,01,N,N,36.35125596,127.39883060,4,6.6,11.2,Y,,,,,N,Y,Y,N,대전광역시,042-120,2023-01-05
"대전광역시",서구,둔산북로,,대전광역시 서구 둔산동 2156,20,01,N,N,36.35578887,127.39876790,4,6.2,12.5,Y,,,,,N,Y,Y,N,대전광역시,042-120,2023-01-05
"대전광역시",서구,둔산북로,,대전광역시 서구 둔산동 1809,21,01,N,N,36.35570091,127.39890610,2,4.1,6,N,,,,,N,Y,N,N,대전광역시,042-120,2023-01-05
"대전광역시",대덕구,둔산북로,,대전광역시 대덕구 둔산동 2156,22,01,N,N,36.35576307,127.40160110,4,6.3,14.3,N,,,,,N,Y,Y,N,대전광역시,042-120,2023-01-05
"대전광역시",서구,둔산북로,,대전광역시 서구 둔산동 2157,23,01,N,N,36.35568796,127.40031620,2,4.1,5.2,N,,,,,N,Y,Y,N,대전광역시,042-120,2023-01-05
"대전광역시",서구,둔산북로,,대전광역시 서구 둔산동 2156,24,01,N,Y,36.35578486,127.40042630,4,6,13.2,Y,,,,,N,Y,Y,Y,대전광역시,042-120,2023-01-05
"대전광역시",서구,둔산로,,대전광역시 서구 둔산동 2161,25,01,N,N,36.35124728,127.40062760,4,6,12.5,Y,,,,,N,Y,Y,N,대전광역시,042-120,2023-01-05
"대전광역시",서구,둔산로,,대전광역시 서구 둔산동 1812,26,01,N,N,36.35134116,127.40075460,2,4.1,10.5,N,,,,,N,Y,N,N,대전광역시,042-120,2023-01-05
"대전광역시",대덕구,유등로,,대전광역시 대덕구 둔산동 2169,27,02,N,N,36.35113275,127.40164250,7,8.4,24.4,Y,,,,,N,Y,Y,N,대전광역시,042-120,2023-01-05
"대전광역시",대덕구,둔산로,,대전광역시 대덕구 둔산동 2161,28,01,N,N,36.35125206,127.40147130,4,6.5,20.8,Y,,,,,N,Y,Y,N,대전광역시,042-120,2023-01-05
"대전광역시",대덕구,유등로,,대전광역시 대덕구 둔산동 2169,29,01,N,N,36.35330778,127.40185630,6,7,20.2,Y,,,,,N,Y,Y,N,대전광역시,042-120,2023-01-05
"대전광역시",대덕구,둔산북로,,대전광역시 대덕구 둔산동 2168,30,01,N,N,36.35342266,127.40173560,2,4.2,9.1,Y,,,,,N,Y,Y,N,대전광역시,042-120,2023-01-05
"대전광역시",서구,둔산북로,,대전광역시 서구 둔산동 2157,31,01,N,Y,36.35342570,127.40097220,2,4.1,5.9,Y,,,,,N,Y,Y,Y,대전광역시,042-120,2023-01-05
"대전광역시",서구,둔산북로,,대전광역시 서구 둔산동 2157,32,01,N,N,36.35347292,127.40032120,2,3.5,8,N,,,,,N,Y,Y,N,대전광역시,042-120,2023-01-05
"대전광역시",서구,둔산로240번길,,대전광역시 서구 둔산동 2161,33,01,N,N,36.35115631,127.40054360,1,3.6,6.4,N,,,,,N,Y,Y,N,대전광역시,042-120,2023-01-05
"대전광역시",서구,유등로669번길,,대전광역시 서구 둔산동 1084-1,34,01,N,N,36.34840174,127.39933550,2,4,10.2,N,,,,,N,Y,Y,N,대전광역시,042-120,2023-01-05
"대전광역시",서구,남선로60번길,,대전광역시 서구 둔산동 1084-1,35,01,N,N,36.34847370,127.39889790,2,4.1,5.3,N,,,,,N,Y,N,N,대전광역시,042-120,2023-01-05
"대전광역시",서구,남선로60번길,,대전광역시 서구 둔산동 1436,36,01,N,N,36.34849205,127.39942660,2,4,6.4,N,,,,,N,Y,Y,N,대전광역시,042-120,2023-01-05
"대전광역시",서구,남선로,,대전광역시 서구 둔산동 1084-1,37,01,N,N,36.34842112,127.39881290,2,4.1,8.9,N,,,,,N,Y,Y,N,대전광역시,042-120,2023-01-05
"대전광역시",서구,남선로,,대전광역시 서구 둔산동 1084-1,38,01,N,N,36.34847438,127.39864860,2,4.1,5.2,N,,,,,N,Y,N,N,대전광역시,042-120,2023-01-05
"대전광역시",서구,둔산남로200번길,,대전광역시 서구 둔산동 1458,39,01,N,N,36.34886455,127.39978060,2,4,9.2,N,,,,,N,Y,N,N,대전광역시,042-120,2023-01-05
"대전광역시",서구,둔산남로,,대전광역시 서구 둔산동 1458,40,01,N,N,36.34898348,127.39892510,6,8.1,17.2,Y,,,,,N,Y,Y,Y,대전광역시,042-120,2023-01-05
"대전광역시",서구,남선로,,대전광역시 서구 둔산동 1458,41,01,N,N,36.34886400,127.39878640,4,4,12,Y,,,,,N,Y,Y,Y,대전광역시,042-120,2023-01-05
"대전광역시",서구,계룡로553번길,,대전광역시 서구 탄방동 1450,42,01,Y,N,36.34298342,127.38502920,2,6,17.9,Y,,,,,N,Y,Y,N,대전광역시,042-120,2023-01-05
"대전광역시",서구,도산로,,대전광역시 서구 탄방동 547,43,01,N,N,36.33993688,127.39535670,6,8.1,11.7,Y,,,,,N,Y,Y,N,대전광역시,042-120,2023-01-05
"대전광역시",서구,탄방로,,대전광역시 서구 탄방동 265-3,44,01,N,N,36.33995856,127.39559390,2,6.2,17.9,Y,,,,,N,Y,Y,N,대전광역시,042-120,2023-01-05
"대전광역시",서구,둔산대로,,대전광역시 서구 만년동 399,45,01,Y,N,36.36499581,127.39047090,4,6,17.4,N,,,,,N,Y,Y,N,대전광역시,042-120,2023-01-05
"대전광역시",서구,둔산대로,,대전광역시 서구 만년동 1514,46,01,Y,N,36.36474307,127.38749070,4,6.1,16.3,Y,,,,,N,Y,Y,Y,대전광역시,042-120,2023-01-05
"대전광역시",서구,둔산대로,,대전광역시 서구 만년동 399,47,01,Y,N,36.36491682,127.38749280,4,6.2,16.8,Y,,,,,N,Y,Y,N,대전광역시,042-120,2023-01-05
"대전광역시",서구,둔산대로,,대전광역시 서구 만년동 1514,48,01,N,N,36.36465221,127.38774140,3,3,15.4,N,,,,,N,Y,Y,N,대전광역시,042-120,2023-01-05
"대전광역시",서구,문예로,,대전광역시 서구 만년동 1514,49,01,Y,N,36.36458765,127.39028250,6,6.2,20.9,Y,,,,,N,Y,Y,N,대전광역시,042-120,2023-01-05
"대전광역시",서구,둔산대로,,대전광역시 서구 만년동 399,50,01,N,N,36.36503518,127.38764110,2,4.1,14.2,N,,,,,N,Y,Y,N,대전광역시,042-120,2023-01-05
"대전광역시",서구,둔산대로,,대전광역시 서구 만년동 399,51,01,N,N,36.36503274,127.38835720,2,3.9,15.2,N,,,,,N,Y,Y,N,대전광역시,042-120,2023-01-05
"대전광역시",서구,유등로,,대전광역시 서구 만년동 1514,52,01,Y,N,36.36461225,127.39380450,6,5.4,23.9,Y,,,,,Y,Y,Y,Y,대전광역시,042-120,2023-01-05
"대전광역시",서구,둔산대로,,대전광역시 서구 만년동 399,53,01,Y,N,36.36482378,127.39344300,6,6,24.6,Y,,,,,Y,Y,Y,Y,대전광역시,042-120,2023-01-05
"대전광역시",서구,둔산대로,,대전광역시 서구 만년동 1514,54,01,Y,N,36.36448880,127.39338780,2,4.1,7.9,N,,,,,Y,Y,Y,N,대전광역시,042-120,2023-01-05
"대전광역시",대덕구,유등로,,대전광역시 대덕구 도룡동 396-5,55,01,N,N,36.37044603,127.39347020,6,6.1,22.2,Y,,,,,N,Y,Y,N,대전광역시,042-120,2023-01-05
"대전광역시",대덕구,유등로,,대전광역시 대덕구 도룡동 396-5,56,01,N,N,36.37056495,127.39331790,1,3.1,14.3,N,,,,,N,Y,Y,N,대전광역시,042-120,2023-01-05
"대전광역시",서구,유등로,,대전광역시 서구 만년동 396-5,57,01,N,N,36.36625424,127.39327490,2,3.1,5.3,N,,,,,N,Y,N,N,대전광역시,042-120,2023-01-05
"대전광역시",서구,둔산대로,,대전광역시 서구 만년동 398-1,58,01,Y,N,36.36502272,127.39384550,2,4.1,7.5,N,,,,,Y,Y,Y,N,대전광역시,042-120,2023-01-05
"대전광역시",서구,유등로,,대전광역시 서구 만년동 396-5,59,01,N,N,36.36705154,127.39314340,2,4.2,7.2,N,,,,,N,Y,Y,N,대전광역시,042-120,2023-01-05
"대전광역시",서구,유등로,,대전광역시 서구 만년동 396-5,60,01,N,N,36.36696773,127.39332770,8,6,26.6,Y,,,,,N,Y,Y,N,대전광역시,042-120,2023-01-05
"대전광역시",서구,둔산대로,,대전광역시 서구 만년동 396-5,61,01,Y,N,36.36500921,127.39339640,2,7.6,8,N,,,,,Y,Y,Y,N,대전광역시,042-120,2023-01-05
"대전광역시",서구,둔산북로,,대전광역시 서구 둔산동 1805,62,01,N,N,36.35586844,127.39860260,3,4,11.4,N,,,,,N,Y,Y,N,대전광역시,042-120,2023-01-05
"대전광역시",서구,둔산로,,대전광역시 서구 둔산동 1551,63,01,Y,N,36.35127703,127.38999220,4,5.6,17.2,Y,,,,,N,Y,Y,N,대전광역시,042-120,2023-01-05
"대전광역시",서구,문정로48번길,,대전광역시 서구 둔산동 1449,64,01,N,N,36.34660494,127.38455780,4,4.1,13.5,N,,,,,N,Y,Y,N,대전광역시,042-120,2023-01-05
